id,member_id,loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,purpose,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,last_pymnt_amnt,loan_status
1077501,1296599.0,5000.0, 36 months, 10.65%,162.87,B,B2,10+ years,RENT,24000.0,Verified,credit_card,27.65,0.0,1.0,3.0,0.0,13648.0,83.7%,9.0,171.62,Fully Paid
1077430,1314167.0,2500.0, 60 months, 15.27%,59.83,C,C4,< 1 year,RENT,30000.0,Source Verified,car,1.0,0.0,5.0,3.0,0.0,1687.0,9.4%,4.0,119.66,Charged Off
1077175,1313524.0,2400.0, 36 months, 15.96%,84.33,C,C5,10+ years,RENT,12252.0,Not Verified,small_business,8.72,0.0,2.0,2.0,0.0,2956.0,98.5%,10.0,649.91,Fully Paid
1076863,1277178.0,10000.0, 36 months, 13.49%,339.31,C,C1,10+ years,RENT,49200.0,Source Verified,other,20.0,0.0,1.0,10.0,0.0,5598.0,21%,37.0,357.48,Fully Paid
1075269,1311441.0,5000.0, 36 months,  7.90%,156.46,A,A4,3 years,RENT,36000.0,Source Verified,wedding,11.2,0.0,3.0,9.0,0.0,7963.0,28.3%,12.0,161.03,Fully Paid
1069639,1304742.0,7000.0, 60 months, 15.96%,170.08,C,C5,8 years,RENT,47004.0,Not Verified,debt_consolidation,23.51,0.0,1.0,7.0,0.0,17726.0,85.6%,11.0,1313.76,Fully Paid
1072053,1288686.0,3000.0, 36 months, 18.64%,109.43,E,E1,9 years,RENT,48000.0,Source Verified,car,5.35,0.0,2.0,4.0,0.0,8221.0,87.5%,4.0,111.34,Fully Paid
1071795,1306957.0,5600.0, 60 months, 21.28%,152.39,F,F2,4 years,OWN,40000.0,Source Verified,small_business,5.55,0.0,2.0,11.0,0.0,5210.0,32.6%,13.0,152.39,Charged Off
1071570,1306721.0,5375.0, 60 months, 12.69%,121.45,B,B5,< 1 year,RENT,15000.0,Verified,other,18.08,0.0,0.0,2.0,0.0,9279.0,36.5%,3.0,121.45,Charged Off
1070078,1305201.0,6500.0, 60 months, 14.65%,153.45,C,C3,5 years,OWN,72000.0,Not Verified,debt_consolidation,16.12,0.0,2.0,14.0,0.0,4032.0,20.6%,23.0,1655.54,Fully Paid
1069908,1305008.0,12000.0, 36 months, 12.69%,402.54,B,B5,10+ years,OWN,75000.0,Source Verified,debt_consolidation,10.78,0.0,0.0,12.0,0.0,23336.0,67.1%,34.0,6315.3,Fully Paid
1064687,1298717.0,9000.0, 36 months, 13.49%,305.38,C,C1,< 1 year,RENT,30000.0,Source Verified,debt_consolidation,10.08,0.0,1.0,4.0,0.0,10452.0,91.7%,9.0,305.38,Charged Off
1069866,1304956.0,3000.0, 36 months,  9.91%,96.68,B,B1,3 years,RENT,15000.0,Source Verified,credit_card,12.56,0.0,2.0,11.0,0.0,7323.0,43.1%,11.0,102.43,Fully Paid
1069057,1303503.0,10000.0, 36 months, 10.65%,325.74,B,B2,3 years,RENT,100000.0,Source Verified,other,7.06,0.0,2.0,14.0,0.0,11997.0,55.5%,29.0,325.74,Charged Off
1069759,1304871.0,1000.0, 36 months, 16.29%,35.31,D,D1,< 1 year,RENT,28000.0,Not Verified,debt_consolidation,20.31,0.0,1.0,11.0,0.0,6524.0,81.5%,23.0,36.32,Fully Paid
1065775,1299699.0,10000.0, 36 months, 15.27%,347.98,C,C4,4 years,RENT,42000.0,Not Verified,home_improvement,18.6,0.0,2.0,14.0,0.0,24043.0,70.2%,28.0,370.46,Fully Paid
1069971,1304884.0,3600.0, 36 months,  6.03%,109.57,A,A1,10+ years,MORTGAGE,110000.0,Not Verified,major_purchase,10.52,0.0,0.0,20.0,0.0,22836.0,16%,42.0,583.45,Fully Paid
1062474,1294539.0,6000.0, 36 months, 11.71%,198.46,B,B3,1 year,MORTGAGE,84000.0,Verified,medical,18.44,2.0,0.0,4.0,0.0,0.0,37.73%,14.0,16.98,Fully Paid
1069742,1304855.0,9200.0, 36 months,  6.03%,280.01,A,A1,6 years,RENT,77385.19,Not Verified,debt_consolidation,9.86,0.0,0.0,8.0,0.0,7314.0,23.1%,28.0,8061.1,Fully Paid
1069740,1284848.0,20250.0, 60 months, 15.27%,484.63,C,C4,3 years,RENT,43370.0,Verified,debt_consolidation,26.53,0.0,3.0,8.0,0.0,17813.0,85.6%,22.0,6024.09,Fully Paid
1039153,1269083.0,21000.0, 36 months, 12.42%,701.73,B,B4,10+ years,RENT,105000.0,Verified,debt_consolidation,13.22,0.0,0.0,7.0,0.0,32135.0,90.3%,38.0,701.73,Charged Off
1069710,1304821.0,10000.0, 36 months, 11.71%,330.76,B,B3,10+ years,OWN,50000.0,Source Verified,credit_card,11.18,0.0,0.0,8.0,0.0,10056.0,82.4%,21.0,349.21,Fully Paid
1069700,1304810.0,10000.0, 36 months, 11.71%,330.76,B,B3,5 years,RENT,50000.0,Not Verified,debt_consolidation,16.01,0.0,0.0,6.0,0.0,17800.0,91.8%,17.0,4942.63,Fully Paid
1069559,1304634.0,6000.0, 36 months, 11.71%,198.46,B,B3,1 year,RENT,76000.0,Not Verified,major_purchase,2.4,0.0,1.0,7.0,0.0,5963.0,29.7%,7.0,198.46,Charged Off
1069697,1273773.0,15000.0, 36 months,  9.91%,483.38,B,B1,2 years,MORTGAGE,92000.0,Verified,credit_card,29.44,0.0,0.0,8.0,0.0,13707.0,93.9%,31.0,2447.05,Fully Paid
1069800,1304679.0,15000.0, 36 months, 14.27%,514.64,C,C2,9 years,RENT,60000.0,Not Verified,debt_consolidation,15.22,0.0,1.0,7.0,0.0,5872.0,57.6%,11.0,0.0,Charged Off
1069657,1304764.0,5000.0, 60 months, 16.77%,123.65,D,D2,2 years,RENT,50004.0,Not Verified,other,13.97,3.0,0.0,14.0,0.0,4345.0,59.5%,22.0,123.65,Charged Off
1069799,1304678.0,4000.0, 36 months, 11.71%,132.31,B,B3,10+ years,MORTGAGE,106000.0,Not Verified,debt_consolidation,5.63,1.0,0.0,12.0,0.0,6110.0,37.7%,44.0,2638.77,Fully Paid
1047704,1278806.0,8500.0, 36 months, 11.71%,281.15,B,B3,< 1 year,RENT,25000.0,Source Verified,credit_card,12.19,0.0,0.0,8.0,0.0,6441.0,59.1%,12.0,581.59,Fully Paid
1032111,1261745.0,4375.0, 36 months,  7.51%,136.11,A,A3,7 years,MORTGAGE,17108.0,Source Verified,debt_consolidation,20.34,0.0,0.0,6.0,0.0,11210.0,86.9%,12.0,144.94,Fully Paid
1069539,1304608.0,31825.0, 36 months,  7.90%,995.82,A,A4,5 years,MORTGAGE,75000.0,Verified,debt_consolidation,14.03,0.0,0.0,12.0,0.0,23151.0,27.4%,26.0,16966.7,Fully Paid
1069591,1304289.0,5000.0, 36 months,  8.90%,158.77,A,A5,2 years,RENT,24044.0,Verified,debt_consolidation,11.93,0.0,0.0,8.0,0.0,2224.0,29.3%,16.0,163.64,Fully Paid
